influencer_id,name,platform,followers_count,engagement_rate,category,location,rate_per_post
INF0001,Monica Thornton,TikTok,367462,1.16,Fitness,Melbourne,4909.37
INF0002,Kristina Bolton,Twitter,399597,3.64,Fashion,Adelaide,3317.64
INF0003,James Frye,YouTube,464850,7.96,Fashion,Adelaide,4061.19
INF0004,Joseph Payne,YouTube,286954,5.66,Fitness,Melbourne,3632.48
INF0005,Sharon Becker,YouTube,254415,4.13,Gaming,Brisbane,3047.16
INF0006,Deborah Washington,YouTube,160394,4.35,Travel,Adelaide,456.07
INF0007,Diana Evans,YouTube,46869,1.01,Beauty,Brisbane,2382.87
INF0008,Vickie Wise,TikTok,37955,3.7,Travel,Melbourne,3438.97
INF0009,Melissa Burns,YouTube,66388,6.82,Beauty,Adelaide,3452.15
INF0010,Justin Michael,Instagram,246324,9.77,Fitness,Sydney,1990.99
INF0011,Donna Berry,Instagram,15207,8.62,Fashion,Melbourne,4720.12
INF0012,Stephanie Foster,TikTok,223401,1.21,Gaming,Perth,1003.31
INF0013,Raymond Thomas,Twitter,465844,9.09,Fashion,Brisbane,2601.73
INF0014,Tyler Miller,Instagram,164292,8.05,Travel,Melbourne,3516.24
INF0015,Mary Burgess,Twitter,482266,8.02,Fashion,Melbourne,3546.25
INF0016,Ronald Nelson,TikTok,210157,5.12,Fitness,Adelaide,3313.47
INF0017,Denise Rodriguez,Twitter,27031,4.58,Gaming,Adelaide,1521.38
INF0018,Cynthia Williams,Twitter,468937,3.73,Travel,Adelaide,949.79
INF0019,Courtney Hall,Twitter,347951,1.59,Gaming,Perth,3252.51
INF0020,Gary Kennedy,Twitter,76312,3.05,Beauty,Adelaide,3076.65
INF0021,Brenda Oconnell,TikTok,64766,3.22,Fashion,Melbourne,1060.91
INF0022,Brooke Delgado,Instagram,148521,5.36,Gaming,Adelaide,3584.67
INF0023,Karen Santos,YouTube,356977,7.73,Tech,Sydney,2384.83
INF0024,Donna Mitchell,Twitter,192771,5.26,Fashion,Adelaide,3405.25
INF0025,Randy Pearson,Instagram,242199,1.52,Beauty,Perth,4219.36
INF0026,Parker Jefferson,Instagram,479469,9.62,Gaming,Sydney,1014.7
INF0027,Thomas Butler,TikTok,241731,9.48,Travel,Melbourne,291.9
INF0028,Taylor Johnson,Instagram,240841,8.07,Beauty,Melbourne,3939.69
INF0029,Rachel Lopez,TikTok,116041,9.92,Tech,Brisbane,3126.55
INF0030,Shelia Roberts,Twitter,121185,5.9,Gaming,Sydney,3558.27
INF0031,Edwin Morrison,Twitter,182164,9.66,Fitness,Brisbane,4223.14
INF0032,Frances Gibson,YouTube,461887,1.68,Fashion,Sydney,4053.49
INF0033,Kelly Small,YouTube,15350,4.29,Travel,Sydney,4812.42
INF0034,Jonathan Nelson,YouTube,232230,3.03,Fitness,Perth,2772.49
INF0035,Erin Simon,Instagram,368003,2.76,Gaming,Brisbane,2544.78
INF0036,Michelle Smith,Twitter,266570,2.27,Gaming,Perth,2129.06
INF0037,Edward Craig,TikTok,73487,6.6,Beauty,Sydney,937.72
INF0038,Levi Fowler,YouTube,153694,8.03,Gaming,Melbourne,2948.51
INF0039,Jeffrey Murphy,TikTok,128853,6.2,Travel,Sydney,1529.66
INF0040,Brandon Holden,TikTok,468479,2.32,Fitness,Perth,4622.28
INF0041,Timothy Smith,YouTube,320261,8.3,Travel,Brisbane,2999.32
INF0042,Jeremy Adams,Twitter,240062,6.72,Tech,Brisbane,3045.63
INF0043,Kevin Berry,YouTube,456610,4.49,Tech,Perth,1903.64
INF0044,Ian Young,TikTok,238077,7.07,Fashion,Brisbane,449.55
INF0045,Julie Moore,YouTube,368228,3.34,Fashion,Adelaide,352.37
INF0046,Tammy Barron,TikTok,28782,4.11,Tech,Melbourne,2232.01
INF0047,Melissa Fowler,TikTok,295598,9.26,Gaming,Melbourne,605.91
INF0048,Holly Walker,YouTube,335048,3.61,Travel,Melbourne,3112.87
INF0049,Karen Gibson,Instagram,134936,5.23,Tech,Brisbane,4428.67
